Need to re-fetch: 124 / 743 cards

  1/124 | fetched:1 | saved:0 | notFound:0   
  2/124 | fetched:2 | saved:0 | notFound:0   
  3/124 | fetched:3 | saved:0 | notFound:0   
  4/124 | fetched:4 | saved:0 | notFound:0   
  5/124 | fetched:5 | saved:0 | notFound:0   
  6/124 | fetched:6 | saved:0 | notFound:0   
  7/124 | fetched:7 | saved:0 | notFound:0   
  8/124 | fetched:8 | saved:0 | notFound:0   
  9/124 | fetched:9 | saved:0 | notFound:0   
  10/124 | fetched:10 | saved:0 | notFound:0   
  11/124 | fetched:11 | saved:0 | notFound:0   
  12/124 | fetched:12 | saved:0 | notFound:0   
  13/124 | fetched:13 | saved:0 | notFound:0   
  14/124 | fetched:14 | saved:0 | notFound:0   
  15/124 | fetched:15 | saved:0 | notFound:0   
  16/124 | fetched:16 | saved:0 | notFound:0   
  17/124 | fetched:17 | saved:0 | notFound:0   
  18/124 | fetched:18 | saved:0 | notFound:0   
  19/124 | fetched:19 | saved:0 | notFound:0   
  20/124 | fetched:20 | saved:0 | notFound:0   
  21/124 | fetched:21 | saved:20 | notFound:0   
  22/124 | fetched:22 | saved:20 | notFound:0   
  23/124 | fetched:23 | saved:20 | notFound:0   
  24/124 | fetched:24 | saved:20 | notFound:0   
  25/124 | fetched:25 | saved:20 | notFound:0   
  26/124 | fetched:26 | saved:20 | notFound:0   
  27/124 | fetched:27 | saved:20 | notFound:0   
  28/124 | fetched:28 | saved:20 | notFound:0   
  29/124 | fetched:29 | saved:20 | notFound:0   
  30/124 | fetched:30 | saved:20 | notFound:0   
  31/124 | fetched:31 | saved:20 | notFound:0   
  32/124 | fetched:32 | saved:20 | notFound:0   
  33/124 | fetched:33 | saved:20 | notFound:0   
  34/124 | fetched:34 | saved:20 | notFound:0   
  35/124 | fetched:35 | saved:20 | notFound:0   
  36/124 | fetched:36 | saved:20 | notFound:0   
  37/124 | fetched:37 | saved:20 | notFound:0   
  38/124 | fetched:38 | saved:20 | notFound:0   
  39/124 | fetched:39 | saved:20 | notFound:0   
  40/124 | fetched:40 | saved:20 | notFound:0   
  41/124 | fetched:41 | saved:40 | notFound:0   
  42/124 | fetched:42 | saved:40 | notFound:0   
  43/124 | fetched:43 | saved:40 | notFound:0   
  44/124 | fetched:44 | saved:40 | notFound:0   
  45/124 | fetched:45 | saved:40 | notFound:0   
  46/124 | fetched:46 | saved:40 | notFound:0   
  47/124 | fetched:47 | saved:40 | notFound:0   
  48/124 | fetched:48 | saved:40 | notFound:0   
  49/124 | fetched:49 | saved:40 | notFound:0   
  50/124 | fetched:50 | saved:40 | notFound:0   
  51/124 | fetched:51 | saved:40 | notFound:0   
  52/124 | fetched:52 | saved:40 | notFound:0   
  53/124 | fetched:53 | saved:40 | notFound:0   
  54/124 | fetched:54 | saved:40 | notFound:0   
  55/124 | fetched:55 | saved:40 | notFound:0   
  56/124 | fetched:56 | saved:40 | notFound:0   
  57/124 | fetched:57 | saved:40 | notFound:0   
  58/124 | fetched:58 | saved:40 | notFound:0   
  59/124 | fetched:59 | saved:40 | notFound:0   
  60/124 | fetched:60 | saved:40 | notFound:0   
  61/124 | fetched:61 | saved:60 | notFound:0   
  62/124 | fetched:62 | saved:60 | notFound:0   
  63/124 | fetched:63 | saved:60 | notFound:0   
  64/124 | fetched:64 | saved:60 | notFound:0   
  65/124 | fetched:65 | saved:60 | notFound:0   
  66/124 | fetched:66 | saved:60 | notFound:0   
  67/124 | fetched:67 | saved:60 | notFound:0   
  68/124 | fetched:68 | saved:60 | notFound:0   
  69/124 | fetched:69 | saved:60 | notFound:0   
  70/124 | fetched:70 | saved:60 | notFound:0   
  71/124 | fetched:71 | saved:60 | notFound:0   
  72/124 | fetched:72 | saved:60 | notFound:0   
  73/124 | fetched:73 | saved:60 | notFound:0   
  74/124 | fetched:74 | saved:60 | notFound:0   
  75/124 | fetched:75 | saved:60 | notFound:0   
  76/124 | fetched:76 | saved:60 | notFound:0   
  77/124 | fetched:77 | saved:60 | notFound:0   
  78/124 | fetched:78 | saved:60 | notFound:0   
  79/124 | fetched:79 | saved:60 | notFound:0   
  80/124 | fetched:80 | saved:60 | notFound:0   
  81/124 | fetched:81 | saved:80 | notFound:0   
  82/124 | fetched:82 | saved:80 | notFound:0   
  83/124 | fetched:83 | saved:80 | notFound:0   
  84/124 | fetched:84 | saved:80 | notFound:0   
  85/124 | fetched:85 | saved:80 | notFound:0   
  86/124 | fetched:86 | saved:80 | notFound:0   
